Nº;Barrio;Superficie (km²);Habitantes;Densidad (hab/km²)
1;Palermo;15.9;252.312;14.501
2;Caballito;6.8;183.396;25.830
3;Recoleta;5.9;188.780;34.959
4;Flores;7.8;150.484;18.578
5;Balvanera;4.4;152.198;34.950
6;Almagro;4.1;139.262;33.960
7;Belgrano;6.8;138.942;20.433
8;Villa Lugano;9.0;114.253;12.419
9;Villa Urquiza;5.4;89.360;15.957
10;Villa Crespo;3.6;89.859;23.647
11;Barracas;7.6;77.474;10.194
12;Villa Devoto;6.4;71.013;10.760
13;Mataderos;7.3;64.932;8.544
14;Nueva Pompeya;6.2;63.276;10.373
15;Villa del Parque;3.4;58.573;16.270
16;Parque Chacabuco;3.8;39.473;16.447
17;Colegiales;2.3;56.998;21.922
18;Parque Avellaneda;5.1;54.191;10.421
19;San Cristóbal;2.1;49.986;23.803
20;Boedo;2.6;48.520;18.662
21;La Boca;3.1;46.494;14.089
22;Liniers;4.3;44.234;8.191
23;Constitución;2.1;45.860;21.838
24;Monserrat;2.2;43.560;19.800
25;Retiro;2.8;45.002;15.518
26;Villa Pueyrredón;3.3;40.235;10.874
27;Parque Patricios;3.7;40.885;10.759
28;Floresta;2.3;39.473;16.447
29;Villa General Mitre;2.2;36.090;16.405
30;Vélez Sársfield;2.4;35.963;14.985
31;Monte Castro;2.6;34.584;11.926
32;Villa Santa Rita;2.2;33.850;14.717
33;Villa Luro;2.6;33.058;12.715
34;San Nicolás;2.3;33.305;13.877
35;Chacarita;3.1;27.440;9.800
36;San Telmo;1.2;25.969;19.976
37;La Paternal;2.2;20.053;8.355
38;Parque Chas;1.4;39.473;28.195
39;Coghlan;1.3;19.177;14.752
40;Villa Riachuelo;4.1;14.960;3.400
41;Agronomía;2.1;34.580;8.645
42;Villa Real;1.3;14.278;9.519
43;Versalles;1.5;14.178;9.452
44;Puerto Madero;2.1;7.000;3.333
